Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,11,108,1,120
 Baja California,BC,Norte,264,2469,90,2823
 Baja California Sur,BS,Norte-occidente,16,87,1,104
 Campeche,CM,Sur,10,73,0,83
 Coahuila de Zaragoza,CO,Norte,52,254,0,306
 Colima,CL,Centro-norte,103,726,1,830
 Chiapas,CS,Sur,71,548,0,619
 Chihuahua,CH,Norte,308,2625,3,2936
 CDMX,CX,Centro,144,1157,0,1301
 Durango,DG,Norte-occidente,23,152,0,175
 Guanajuato,GT,Centro,412,3586,21,4019
 Guerrero,GR,Sur,195,1738,4,1937
 Hidalgo,HG,Centro,65,410,4,479
 Jalisco,JC,Centro-norte,263,2260,2,2525
 Mexico,EM,Centro,472,2767,3,3242
 Michoacan,MI,Centro-norte,199,2259,4,2462
 Morelos,MO,Centro,102,955,2,1059
 Nayarit,NA,Norte-occidente,24,193,1,218
 Nuevo Leon,NL,Norte,98,889,0,987
 Oaxaca,OA,Sur,140,1024,0,1164
 Puebla,PU,Centro,123,1150,1,1274
 Queretaro,QT,Centro,28,196,0,224
 Quintana Roo,QR,Sur,74,676,0,750
 San Luis Potosi,SL,Centro-norte,49,467,6,522
 Sinaloa,SI,Norte-occidente,58,1071,4,1133
 Sonora,SO,Norte,115,1203,66,1384
 Tabasco,TB,Sur,80,611,0,691
 Tamaulipas,TM,Norte,115,752,16,883
 Tlaxcala,TL,Centro,26,163,0,189
 Veracruz,VE,Sur,170,1321,2,1493
 Yucatan,YU,Sur,4,42,0,46
 Zacatecas,ZA,Norte-occidente,79,598,6,683
