Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Centro-norte,12320,12691,0,25011
 Baja California,BC,Norte,27672,28882,0,56554
 Baja California Sur,BS,Norte-occidente,5830,5931,0,11761
 Campeche,CM,Sur,7358,7509,0,14867
 Coahuila de Zaragoza,CO,Norte,25980,26932,0,52912
 Colima,CL,Centro-norte,5262,5543,0,10805
 Chiapas,CS,Sur,69103,71162,0,140265
 Chihuahua,CH,Norte,29329,30468,0,59797
 CDMX,CX,Centro,50897,52256,1,103154
 Durango,DG,Norte-occidente,16346,16635,0,32981
 Guanajuato,GT,Centro,54304,56425,26,110755
 Guerrero,GR,Sur,37885,39240,0,77125
 Hidalgo,HG,Centro,21868,22695,0,44563
 Jalisco,JC,Centro-norte,68497,70675,1,139173
 Mexico,EM,Centro,124985,128953,0,253938
 Michoacan,MI,Centro-norte,45014,46280,0,91294
 Morelos,MO,Centro,14716,15011,0,29727
 Nayarit,NA,Norte-occidente,8929,9337,0,18266
 Nuevo Leon,NL,Norte,44741,45910,0,90651
 Oaxaca,OA,Sur,37659,38663,1,76323
 Puebla,PU,Centro,61868,62801,0,124669
 Queretaro,QT,Centro,18714,19066,0,37780
 Quintana Roo,QR,Sur,14851,15843,13,30707
 San Luis Potosi,SL,Centro-norte,22969,23737,0,46706
 Sinaloa,SI,Norte-occidente,23935,25310,0,49245
 Sonora,SO,Norte,21752,22477,0,44229
 Tabasco,TB,Sur,21574,22185,0,43759
 Tamaulipas,TM,Norte,27301,28122,0,55423
 Tlaxcala,TL,Centro,11693,12086,0,23779
 Veracruz,VE,Sur,58537,59951,0,118488
 Yucatan,YU,Sur,16364,16972,0,33336
 Zacatecas,ZA,Norte-occidente,15649,15788,0,31437
