fecha_hecho,delito
2024-12-04 12:00:00,38
2024-12-05 00:00:00,97
2024-12-05 12:00:00,113
2024-12-06 00:00:00,100
2024-12-06 12:00:00,135
2024-12-07 00:00:00,82
2024-12-07 12:00:00,108
2024-12-08 00:00:00,84
2024-12-08 12:00:00,98
2024-12-09 00:00:00,100
2024-12-09 12:00:00,121
2024-12-10 00:00:00,93
2024-12-10 12:00:00,123
2024-12-11 00:00:00,104
2024-12-11 12:00:00,124
2024-12-12 00:00:00,97
2024-12-12 12:00:00,113
2024-12-13 00:00:00,93
2024-12-13 12:00:00,118
2024-12-14 00:00:00,103
2024-12-14 12:00:00,106
2024-12-15 00:00:00,90
2024-12-15 12:00:00,98
2024-12-16 00:00:00,104
2024-12-16 12:00:00,126
2024-12-17 00:00:00,88
2024-12-17 12:00:00,110
2024-12-18 00:00:00,86
2024-12-18 12:00:00,110
2024-12-19 00:00:00,92
2024-12-19 12:00:00,105
2024-12-20 00:00:00,84
2024-12-20 12:00:00,108
2024-12-21 00:00:00,83
2024-12-21 12:00:00,108
2024-12-22 00:00:00,91
2024-12-22 12:00:00,97
2024-12-23 00:00:00,74
2024-12-23 12:00:00,105
2024-12-24 00:00:00,72
2024-12-24 12:00:00,70
2024-12-25 00:00:00,80
2024-12-25 12:00:00,70
2024-12-26 00:00:00,83
2024-12-26 12:00:00,101
2024-12-27 00:00:00,87
2024-12-27 12:00:00,107
2024-12-28 00:00:00,94
2024-12-28 12:00:00,93
2024-12-29 00:00:00,87
2024-12-29 12:00:00,74
2024-12-30 00:00:00,71
2024-12-30 12:00:00,98
2024-12-31 00:00:00,66
2024-12-31 12:00:00,82
2025-01-01 00:00:00,89
2025-01-01 12:00:00,71
2025-01-02 00:00:00,82
2025-01-02 12:00:00,98
2025-01-03 00:00:00,78
2025-01-03 12:00:00,112
2025-01-04 00:00:00,64
2025-01-04 12:00:00,85
2025-01-05 00:00:00,81
2025-01-05 12:00:00,88
2025-01-06 00:00:00,93
2025-01-06 12:00:00,93
2025-01-07 00:00:00,78
2025-01-07 12:00:00,118
2025-01-08 00:00:00,92
2025-01-08 12:00:00,117
2025-01-09 00:00:00,92
2025-01-09 12:00:00,121
2025-01-10 00:00:00,91
2025-01-10 12:00:00,111
2025-01-11 00:00:00,82
2025-01-11 12:00:00,100
2025-01-12 00:00:00,87
2025-01-12 12:00:00,81
2025-01-13 00:00:00,86
2025-01-13 12:00:00,105
2025-01-14 00:00:00,109
2025-01-14 12:00:00,104
2025-01-15 00:00:00,102
2025-01-15 12:00:00,116
2025-01-16 00:00:00,83
2025-01-16 12:00:00,110
2025-01-17 00:00:00,94
2025-01-17 12:00:00,116
2025-01-18 00:00:00,74
2025-01-18 12:00:00,93
2025-01-19 00:00:00,88
2025-01-19 12:00:00,88
2025-01-20 00:00:00,93
2025-01-20 12:00:00,107
2025-01-21 00:00:00,87
2025-01-21 12:00:00,120
2025-01-22 00:00:00,100
2025-01-22 12:00:00,110
2025-01-23 00:00:00,93
2025-01-23 12:00:00,96
2025-01-24 00:00:00,88
2025-01-24 12:00:00,103
2025-01-25 00:00:00,76
2025-01-25 12:00:00,98
2025-01-26 00:00:00,98
2025-01-26 12:00:00,83
2025-01-27 00:00:00,85
2025-01-27 12:00:00,104
2025-01-28 00:00:00,76
2025-01-28 12:00:00,111
2025-01-29 00:00:00,74
2025-01-29 12:00:00,93
2025-01-30 00:00:00,64
2025-01-30 12:00:00,102
2025-01-31 00:00:00,51
2025-01-31 12:00:00,65
